district,capacity
Деснянський,66179.41048069576
Дніпровський,65852.44286203993
Шевченківський,63202.90677663838
Подільський,55718.06497195614
Солом'янський,51383.260859075555
Оболонський,49561.3142226238
Голосіївський,44838.421832252716
Святошинський,42349.77155067156
Дарницький,34943.93047508048
Печерський,19607.475968965675
