route_id,direction_id,time_slot,sched_headway_min,sd_headway_min,n_departures,route_short_name,transport_type,n_vehicles,total_capacity,n_ctrl_points,peak
1_40,0,вечірній пік,18.88888888888889,6.772083217970015,9,16,трамвай,30,5040,5,TRUE
1_40,0,день,21.15,8.542617619294083,20,16,трамвай,30,5040,5,FALSE
1_40,0,ранковий пік,17.6,3.5962943891363137,10,16,трамвай,30,5040,5,TRUE
1_40,1,вечір/ніч,22.375,4.565006649971686,8,16,трамвай,30,5040,5,FALSE
1_40,1,вечірній пік,24.571428571428573,4.353433237386437,7,16,трамвай,30,5040,5,TRUE
1_40,1,день,21.15,7.307350300967692,20,16,трамвай,30,5040,5,FALSE
1_40,1,ранковий пік,22.625,6.1164298643664905,8,16,трамвай,30,5040,5,TRUE
1_41,0,вечір/ніч,15.777777777777779,7.2400483875175015,18,18,трамвай,17,2856,3,FALSE
1_41,0,вечірній пік,20.77777777777778,6.339908867203412,9,18,трамвай,17,2856,3,TRUE
1_41,0,день,22.210526315789473,5.817396777181173,19,18,трамвай,17,2856,3,FALSE
1_41,0,ранковий пік,16.181818181818183,5.862050525510366,11,18,трамвай,17,2856,3,TRUE
1_41,1,вечір/ніч,20.4,5.834761729877618,10,18,трамвай,17,2856,3,FALSE
1_41,1,вечірній пік,19.444444444444443,7.939003575876369,9,18,трамвай,17,2856,3,TRUE
1_41,1,день,22.736842105263158,4.1344367514163265,19,18,трамвай,17,2856,3,FALSE
1_41,1,ранковий пік,19.444444444444443,6.227180564089801,9,18,трамвай,17,2856,3,TRUE
1_42,0,вечір/ніч,43.2,29.96164214458213,5,19,трамвай,23,3864,4,FALSE
1_42,0,вечірній пік,39,22.64950330581225,3,19,трамвай,23,3864,4,TRUE
1_42,0,день,47.333333333333336,26.870057685088806,9,19,трамвай,23,3864,4,FALSE
1_42,0,ранковий пік,38.2,2.16794833886788,5,19,трамвай,23,3864,4,TRUE
1_42,1,вечір/ніч,74,NA,1,19,трамвай,23,3864,4,FALSE
1_42,1,вечірній пік,49,26.795522013948524,4,19,трамвай,23,3864,4,TRUE
1_42,1,день,66.83333333333333,22.894686428659963,6,19,трамвай,23,3864,4,FALSE
1_42,1,ранковий пік,45.5,11.210114480533491,4,19,трамвай,23,3864,4,TRUE
1_46,0,вечір/ніч,7.972972972972974,4.092584666106402,37,8,трамвай,33,8574,6,FALSE
1_46,0,вечірній пік,6.884615384615385,2.286078267722662,26,8,трамвай,33,8574,6,TRUE
1_46,0,день,9.23913043478261,3.8883574516108457,46,8,трамвай,33,8574,6,FALSE
1_46,0,ранковий пік,7.458333333333333,1.7932037558919307,24,8,трамвай,33,8574,6,TRUE
1_46,1,вечір/ніч,11.882352941176471,2.3948474100967387,17,8,трамвай,33,8574,6,FALSE
1_46,1,вечірній пік,9.421052631578947,2.6313450188424805,19,8,трамвай,33,8574,6,TRUE
1_46,1,день,10.195121951219512,4.142580790975125,41,8,трамвай,33,8574,6,FALSE
1_46,1,ранковий пік,7.625,1.2091139407595672,24,8,трамвай,33,8574,6,TRUE
1_466,0,вечір/ніч,10.068965517241379,5.6311064282174,29,33к,трамвай,32,7844,4,FALSE
1_466,0,вечірній пік,7.565217391304348,1.7793279363676442,23,33к,трамвай,32,7844,4,TRUE
1_466,0,день,10.65,4.452311413533079,40,33к,трамвай,32,7844,4,FALSE
1_466,0,ранковий пік,8,1.6035674514745464,22,33к,трамвай,32,7844,4,TRUE
1_466,1,вечір/ніч,14.266666666666667,2.6850556436550455,15,33к,трамвай,32,7844,4,FALSE
1_466,1,вечірній пік,8.947368421052632,1.985326287499427,19,33к,трамвай,32,7844,4,TRUE
1_466,1,день,12.205882352941178,3.7961656234001713,34,33к,трамвай,32,7844,4,FALSE
1_466,1,ранковий пік,8.454545454545455,0.9116846116771038,22,33к,трамвай,32,7844,4,TRUE
1_49,0,вечір/ніч,23,14.187061967607221,12,25,трамвай,22,3126,4,FALSE
1_49,0,вечірній пік,22.75,4.6827952580239325,8,25,трамвай,22,3126,4,TRUE
1_49,0,день,27.866666666666667,12.414661071644668,15,25,трамвай,22,3126,4,FALSE
1_49,0,ранковий пік,19.77777777777778,8.728942916782332,9,25,трамвай,22,3126,4,TRUE
1_49,1,вечір/ніч,39.666666666666664,4.163331998932266,3,25,трамвай,22,3126,4,FALSE
